R17-0008-10,215
R17-0014-2,217
R17-0014-6,217
R17-0016-1,214
R17-0018-4,213
R17-0022-3,212
R17-0036-4,216
R17-0036-5,216
R17-0047-6,214
R17-0056-9,213
R17-0057-1,214
R17-0060-5,211
R17-0063-2,213
R17-0063-3,213
R17-0065-1,216
R17-0068-1,215
R17-0069-1,214
R17-0069-2,214
R17-0078-1,215
R17-0085-2,215
R17-0085-7,215
R17-0090-1,216
R17-0090-3,216
R17-0108-2,215
R17-0108-4,215
R17-0119-6,214
R17-0126-10,211
R17-0132-5,210
R17-0133-2,209
R17-0133-4,209
R17-0134-10,217
R17-0134-11,217
R17-0135-4,220
R17-0141-13,201
R17-0153-5,206
R17-0156-7,219
R17-0158-1,195
R17-0166-8,215
R17-0170-1,225
R17-0170-2,225
R17-0172-7,217
R17-0180-4,217
R17-0181-1,207
R17-0181-4,207
R17-0207-8,215
R17-0210-4,215
R17-0220-2,216
R17-0226-2,217
R17-0227-3,216
R17-0238-1,212
R17-0241-2,213
R17-0242-5,213
R17-0248-2,214
R17-0261-3,191
R17-0264-8,215
R17-0283-10,215
R17-0285-2,215
R17-0285-7,215
R17-0300-1,217
R17-0302-1,217
R17-0307-4,214
R17-0312-3,213
R17-0323-2,215
R17-0325-2,217
R17-0328-1,214
R17-0365-2,214
R17-0372-9,212
R17-0376-5,216
R17-0378-14,212
R17-0409-4,216
R17-0413-2,217
R17-0416-8,216
R17-0425-3,213
R17-0427-6,214
R17-0429-10,212
R17-0429-6,212
R17-0434-1,214
R17-0436-1,216
R17-0439-1,215
R17-0439-8,215
R17-0445-2,217
R17-0445-4,217
R17-0467-3,216
R17-0467-4,216
R17-0472-6,218
R17-0474-5,215
R17-0476-5,213
R17-0477-11,215
R17-0477-6,215
R17-0497-1,214
R17-0499-5,218
R17-0502-10,215
R17-0502-9,215
R17-0510-5,215
R17-0510-7,215
R17-0511-1,215
R17-0511-6,215
R17-0519-3,216
R17-0548-1,219
R18-0444-5,215
R18-0463-3,213
R18-0463-4,213
R18-0480-5,215
R18-0530-1,217
R18-0530-8,217
R18-0532-4,218
R18-0534-6,221
R18-0536-6,212
R18-0548-4,213
R18-0548-5,213
R18-0554-2,215
R18-0554-3,215
R18-0557-4,198
R18-0564-5,217
R18-0585-1,219
R18-0585-3,219
R18-0588-1,219
R18-0596-1,218
R18-0621-9,217
R18-0622-7,219
R19-0373-5,216
R19-0387-4,216
R19-0422-9,216
R19-0455-5,215
R19-0497-10,217
R19-0573-2,217
R19-0579-5,215
R19-0583-4,215
R19-0590-4,216
R19-0599-2,215
